פרנצלאו,53.31625,13.86261
פוטסדאם,52.39886,13.06566
פוטסדם,52.39886,13.06566
פלאואן,50.4973,12.13782
אוסנבריק,52.27264,8.0498
אורניינבורג,52.75577,13.24197
אולדנבורג,53.14118,8.21467
אוברהאוזן,51.47311,6.88074
אובראמרגאו,47.59812,11.06692
נירנבערג,49.45421,11.07752
נירנברג,49.45421,11.07752
נורדהאוזן,51.5018,10.7957
נױשטאַט אַן דער אײש,49.57953,10.61126
מינסטר,51.96236,7.62571
מינכן,48.13743,11.57549
מילהיים על הרוהר,51.43333,6.88333
מנשנגלדבך,51.18539,6.44172
מייסן,51.16158,13.4737
מיינינגן,50.56787,10.41521
מנהיים,49.49671,8.47955
מיינץ,49.98419,8.2791
מגדבורג,52.12773,11.62916
לינבורג,53.2509,10.41409
לודוויגסהאפן,49.48121,8.44641
ליבק,53.86893,10.68729
לברקוזן,51.0303,6.98432
לייפציג,51.33962,12.37129
לר,53.23157,7.461
לנדשטול,49.41306,7.57021
לנדאו,49.19844,8.11692
קרויצברג,52.48906,13.38736
קונסטנץ,47.66033,9.17582
קניגס ווסטרהאוזן,52.30141,13.633
קלן,50.93333,6.95
קעלן,50.93333,6.95
קובלנץ,50.35357,7.57884
קיל,54.32133,10.13489
קאסל,51.31667,9.5
קרלסרוהה,49.00936,8.40444
קייזרסלאוטרן,49.443,7.77161
יינה,50.92878,11.5899
הילדסהיים,52.15077,9.95112
הלמשטדט,52.2279,11.00985
היילברון,49.13995,9.22054
היידלבערג,49.40768,8.69079
היידלברג,49.40768,8.69079
האנאווער,52.37052,9.73322
הנובר,52.37052,9.73322
אלטונה,53.55,9.93333
המבורג,53.57532,10.01534
הלברשטאט,51.89562,11.05622
גטינגן,51.53443,9.93228
גותה,50.94823,10.70193
גוסלאר,51.90425,10.42766
גיסן,50.58727,8.67554
גיאורגסמריינהוטה,52.20296,8.0448
גלזנקירכן,51.5075,7.12283
פיורדא,49.47593,10.98856
פולדה,50.55162,9.67518
פרנקפורט,50.11552,8.68417
פרנקפורט על האודר,52.34714,14.55062
פורסט,51.73544,14.63971
פורשהיים,49.71754,11.05877
פלנסבורג,54.78431,9.43961
אסן,51.45657,7.01228
אשוויילר,50.81854,6.27184
ארלנגן,49.59099,11.00783
ארפורט,50.9787,11.03283
ערפורט,50.9787,11.03283
אמדן,53.36745,7.20778
דיסלדורף,51.22172,6.77616
דיסבורג,51.43247,6.76516
דרזדן,51.05089,13.73832
דרעזדן,51.05089,13.73832
דורטמונד,51.51494,7.466
דסאו,51.83864,12.24555
דאון,50.19716,6.82942
דרמשטדט,49.87167,8.65027
דאכוי,48.26,11.43402
דכאו,48.26,11.43402
קוטבוס,51.75769,14.32888
קמניץ,50.8357,12.92922
קעמניץ,50.8357,12.92922
בורגקונשטאדט,50.14093,11.25205
ברמן,53.07516,8.80777
בראונשווייג,52.26594,10.52673
ברנדנבורג,52.41667,12.55
בורקום,53.58094,6.69153
באן,50.73438,7.09548
בון,50.73438,7.09548
בוכום,51.48165,7.21648
בישופסוורדה,51.12771,14.17974
בערלין,52.52437,13.41053
ברלין,52.52437,13.41053
ביירוית,49.94782,11.57894
במברג,49.89873,10.90067
באד אולדסלו,53.81167,10.37417
באד הומבורג,50.22683,8.61816
באדן-באדן,48.7606,8.23975
בד אמס,50.33544,7.71369
באד בריקנאו,50.30853,9.78985
אאוגסבורג,48.37154,10.89851
מרצאהן,52.55,13.55
אאכן,50.77664,6.08342
ג'יבוטי,11.58901,43.14503
אודנזה,55.39594,10.38831
קופנהאגן,55.67594,12.56553
קופנהגן,55.67594,12.56553
הילרוד,55.92791,12.30081
אורהוס,56.15674,10.21076
אולבורג,57.048,9.9187
רוזו,15.30174,-61.38808
פוארטו פלטה,19.79344,-70.6884
תלמסאן,34.87833,-1.315
אוראן,35.69111,-0.64167
אלג'יר,36.7525,3.04197
ריובמבה,-1.67098,-78.64712
קיטא,-0.22985,-78.52495
קיטו,-0.22985,-78.52495
גואיאקיל,-2.20584,-79.90795
קואנקה,-2.90054,-79.00453
ויליאנדי,58.36389,25.59
ולגה,57.77781,26.0473
טרטו,58.38062,26.72509
טאלין,59.43696,24.75353
נרבה,59.37722,28.19028
קורסארה,58.24806,22.50389
יוגבה,58.74667,26.39389
טנטא,30.78847,31.00192
טנטה,30.78847,31.00192
שארם א-שייח',27.91582,34.32995
איסנא,25.29336,32.55402
אסנא,25.29336,32.55402
דהב,28.50098,34.51338
פורט סעיד,31.25654,32.28412
אסואן,24.09082,32.89942
סואץ,29.97371,32.52627
לוקסור,25.69893,32.6421
קהיר,30.06263,31.24967
אלכסנדריה,31.21564,29.95527
אלעקסאנדריע,31.21564,29.95527
מאסאווה,15.60811,39.47455
מאסאווע,15.60811,39.47455
אסמרה,15.33805,38.93184
וואלענציע,39.46975,-0.37739
ולנסיה,39.46975,-0.37739
טולדו,39.8581,-4.02263
סביליה,37.38283,-5.97317
סעווילא,37.38283,-5.97317
סנטה קרוס דה טנריפה,28.46824,-16.25462
סגונטום,39.68333,-0.26667
פלמה דה מיורקה,39.56939,2.65024
מורסיה,37.98704,-1.13004
מרידה,38.91611,-6.34366
מלייה,35.29369,-2.93833
מאלגה,36.72016,-4.42034
מלאגה,36.72016,-4.42034
לורקה,37.67119,-1.7017
חרס דה לה פרונטרה,36.68645,-6.13606
גרנדה,37.18817,-3.60667
אלש,38.26218,-0.70107
קארדאבע,37.89155,-4.77275
קורדובה,37.89155,-4.77275
סיודאד ריאל,38.98626,-3.92907
קאסטלון,39.98333,-0.03333
קרטחנה,37.60512,-0.98623
קדיס,36.52978,-6.29465
קסרס,39.47649,-6.37224
ארטה,39.69315,3.34979
אלבסטה,38.99424,-1.85643
סרגוסה,41.65606,-0.87734
ויטוריה,42.84998,-2.67268
ויגו,42.23282,-8.72264
ואיאדוליד,41.65518,-4.72372
טורטוסה,40.81249,0.5216
טרגונה,41.11667,1.25
סוריה,41.76401,-2.46883
סגוביה,40.94808,-4.11839
סנטיאגו דה קומפוסטלה,42.88052,-8.54569
סנטנדר,43.46472,-3.80444
סן סבסטיאן,43.31283,-1.97499
פמפלונה,42.81687,-1.64323
אוביידו,43.36029,-5.84476
נג'ארה,42.41822,-2.72865
מאדריד,40.4165,-3.70256
מדריד,40.4165,-3.70256
לוגרוניו,42.46667,-2.45
ליידה,41.61674,0.62218
אואסקה,42.13615,-0.4087
חיחון,43.53573,-5.66152
פואנלברדה,40.28419,-3.79415
קולמנאר וייחו,40.65909,-3.76762
בילבאו,43.26271,-2.92528
בארצעלאנע,41.38879,2.15899
ברצלונה,41.38879,2.15899
ארנחואס,40.03108,-3.60246
אלמסאן,41.48648,-2.53088
אלקלה דה אנארס,40.48205,-3.35996
אישמפלה,41.38896,2.16179
גונדר,12.6,37.46667
דירה דאווה,9.59306,41.86611
בהר דר,11.59364,37.39077
אוושה,7.06205,38.47635
אדיס אבבה,9.02497,38.74689
ונטה,60.29414,25.04099
טורקו,60.45148,22.26869
טמפרה,61.49911,23.78712
רובניימי,66.5,25.71667
אואולו,65.01236,25.46816
נוקיה,61.46667,23.5
הלסינקי,60.16952,24.93545
העלסינקי,60.16952,24.93545
האנקו,59.83333,22.95
סובה,-18.14161,178.44149
סטנלי,-51.7,-57.85
פליקיר,6.92477,158.16109
טורסהאבן,62.00973,-6.77164
קלאקסוויק,62.22655,-6.58901
וילרבאן,45.76667,4.88333
ווישי,46.11667,3.41667
וישי,46.11667,3.41667
ורסאי,48.8,2.13333
באניס,47.66667,-2.75
ואן,47.66667,-2.75
ואלנסיין,50.35,3.53333
טרואה,48.3,4.08333
טור,47.38333,0.68333
טולוז,43.60426,1.44367
טולון,43.11667,5.93333
סירן,48.87143,2.22929
שטראסבורג,48.58342,7.74296
שטרסבורג,48.58342,7.74296
סט,43.4028,3.69278
סן-מלו,48.65,-2.01667
סנט אטיין,45.43333,4.4
דייה-דה-ווז',48.28333,6.95
רואן,49.44313,1.09932
רן,48.11198,-1.67429
ריימס,49.25,4.03333
פואטייה,46.58333,0.33333
פערפיניאן,42.69764,2.89541
פרפיניאן,42.69764,2.89541
פאריז,48.85341,2.3488
פריז,48.85341,2.3488
אורליאן,47.90289,1.90389
נים,43.83333,4.35
ניס,43.70313,7.26608
ניי-סיר-סן,48.8846,2.26965
נרבון,43.18333,3
נאנט,47.21725,-1.55336
נאנסי,48.68439,6.18496
מונפלייה,43.61092,3.87723
מולצהיים,48.54042,7.49199
מעץ,49.11911,6.17269
מץ,49.11911,6.17269
מארסיי,43.29695,5.38107
מרסיי,43.29695,5.38107
ליאן,45.74846,4.84671
ליון,45.74846,4.84671
לימוז',45.83153,1.2578
ליל,50.63297,3.05858
ליבורן,44.91667,-0.23333
לה פוי-אן-ולה,45.04366,3.88523
לה מאן,48,0.2
לה הבר,49.4938,0.10767
לה רוש-סור-יון,46.66667,-1.43333
לה רושל,46.16667,-1.15
לאן,49.56667,3.61667
לאנגר,47.86667,5.33333
עברי-סיר-סן,48.81568,2.38487
אונפלר,49.41985,0.23294
ארפלור,49.5066,0.19827
גרנובל,45.16667,5.71667
גראס,43.66667,6.91667
אוורה,49.02414,1.15082
דונקערק,51.03297,2.377
דנקרק,51.03297,2.377
דוגני,48.95371,2.41734
דראנסי,48.92578,2.44533
דינאן,48.45,-2.03333
דיז'ון,47.31667,5.01667
קרפי-אן-ולואה,49.23359,2.88807
קולומב,48.91882,2.25404
קולמר,48.08333,7.36667
קלרמון-פראן,45.77966,3.08628
שארטר,48.44685,1.48925
שאלון-סור-סון,46.78333,4.85
קארי-לה-רואה,43.33139,5.15237
